section,key,N,mean,std,min,median,max
rec,trial_idx_rec,764,2.5079,1.1164,1.0000,3.0000,4.0000
rec,attention_rec,764,0.4803,0.2813,0.0221,0.4950,0.9662
rec,attention_pct_rec,764,0.4794,0.2906,0.0033,0.5000,1.0000
rec,attention_window_open_rec,764,0.2827,0.4506,0.0000,0.0000,1.0000
rec,theta_power_rec,764,0.2850,0.0837,0.1411,0.2775,0.4750
rec,smr_power_rec,764,0.8174,0.2508,0.3771,0.7954,1.3502
rec,beta1_power_rec,764,0.4375,0.1195,0.2179,0.4291,0.6881
log,coin_collected,31,,,,,
log,coin_spawn,42,,,,,
log,enrolled,1,,,,,
log,menu_select_attention,1,,,,,
log,phase_a_end,4,,,,,
log,phase_a_start,4,,,,,
log,phase_ack,8,,,,,
log,phase_ack_latency_ms,8,,,,,
log,phase_ack_transport_ms,8,,,,,
log,phase_b_end,5,,,,,
log,phase_b_start,4,,,,,
log,scene_loaded,2,,,,,
log,scene_unloaded,1,,,,,
log,session_start,1,,,,,
log,session_stop_ack,1,,,,,
log,session_stop_ack_latency_ms,1,,,,,
log,session_stop_ack_transport_ms,1,,,,,
log,tcp_connected,1,,,,,
log,tcp_connected_transport_ms,1,,,,,
log,trial_end,5,,,,,
log,trial_start,4,,,,,
perf,phase_ack_latency_ms,8,54.1741,59.5743,27.7021,32.7820,201.2250
perf,phase_ack_transport_ms,8,29.8686,31.9569,15.4760,17.3031,108.1610
perf,session_stop_ack_latency_ms,1,169.1418,0.0000,169.1418,169.1418,169.1418
perf,session_stop_ack_transport_ms,1,160.4445,0.0000,160.4445,160.4445,160.4445
perf,tcp_connected_transport_ms,1,3320.0684,0.0000,3320.0684,3320.0684,3320.0684
