t_session_sec,abs_ts,phase_rec,trial_idx_rec,attention_rec,attention_pct_rec,attention_window_open_rec,theta_power_rec,smr_power_rec,beta1_power_rec
0.1974,1785919016.618452,A,1,0.5000,0.5000,0,0.2200,1.0061,0.5217
0.3981,1785919016.816796,A,1,0.5000,0.5000,0,0.1899,1.1247,0.5911
0.4935,1785919016.911163,A,1,0.5000,0.5000,0,0.1872,1.1312,0.5916
0.5874,1785919017.005046,A,1,0.5000,0.5000,0,0.1855,1.1647,0.6209
0.6645,1785919017.086499,A,1,0.5000,0.5000,0,0.2081,1.0697,0.5469
0.7573,1785919017.174772,A,1,0.5000,0.5000,0,0.1945,1.0674,0.5535
0.8378,1785919017.255384,A,1,0.5000,0.5000,0,0.1763,1.1602,0.6113
0.9163,1785919017.333127,A,1,0.5000,0.5000,0,0.1816,1.1592,0.6033
0.9954,1785919017.412272,A,1,0.5000,0.5000,0,0.1904,1.1471,0.5956
1.0735,1785919017.490544,A,1,0.5000,0.5000,0,0.1660,1.2604,0.6262
1.1534,1785919017.570510,A,1,0.5000,0.5000,0,0.1739,1.2400,0.6174
1.2303,1785919017.647204,A,1,0.5000,0.5000,0,0.1572,1.2579,0.6389
1.3077,1785919017.724699,A,1,0.5000,0.5000,0,0.1786,1.2057,0.6228
1.3876,1785919017.804467,A,1,0.5000,0.5000,0,0.1874,1.1329,0.5884
1.4666,1785919017.883678,A,1,0.5000,0.5000,0,0.1513,1.2730,0.6423
1.5457,1785919017.962849,A,1,0.5000,0.5000,0,0.1577,1.2660,0.6448
1.6237,1785919018.040617,A,1,0.5000,0.5000,0,0.1434,1.3213,0.6881
1.7037,1785919018.120552,A,1,0.5000,0.5000,0,0.1625,1.2777,0.6474
1.7830,1785919018.200929,A,1,0.5000,0.5000,0,0.1699,1.2035,0.6169
1.8595,1785919018.276413,A,1,0.5000,0.5000,0,0.1701,1.2261,0.6260
1.9377,1785919018.355017,A,1,0.5000,0.5000,0,0.1570,1.2844,0.6512
2.0168,1785919018.433889,A,1,0.5000,0.5000,0,0.1591,1.2901,0.6394
2.0948,1785919018.511845,A,1,0.5000,0.5000,0,0.1465,1.3442,0.6735
2.1738,1785919018.590741,A,1,0.5000,0.5000,0,0.1645,1.2536,0.6169
2.2537,1785919018.670641,A,1,0.5000,0.5000,0,0.1744,1.1949,0.6111
2.3319,1785919018.748760,A,1,0.5000,0.5000,0,0.1621,1.2537,0.6451
2.4101,1785919018.827204,A,1,0.5000,0.5000,0,0.1858,1.1781,0.6021
2.4899,1785919018.906869,A,1,0.5000,0.5000,0,0.1902,1.1316,0.5836
2.5679,1785919018.985030,A,1,0.5000,0.5000,0,0.1821,1.1523,0.5983
2.6479,1785919019.065115,A,1,0.3700,0.0667,0,0.2065,1.0127,0.5319
2.7259,1785919019.142978,A,1,0.4235,0.5484,0,0.1713,1.2170,0.6151
2.8027,1785919019.219999,A,1,0.3433,0.1562,0,0.1919,1.0917,0.5673
2.8830,1785919019.300146,A,1,0.2494,0.0303,0,0.2220,0.9808,0.5250
2.9607,1785919019.377848,A,1,0.2805,0.3529,0,0.1851,1.1436,0.5920
3.0388,1785919019.456271,A,1,0.2392,0.1429,0,0.2022,1.0561,0.5406
3.1189,1785919019.536047,A,1,0.3258,0.5278,0,0.1749,1.1668,0.6214
3.1970,1785919019.614142,A,1,0.2524,0.0811,0,0.2156,0.9999,0.5325
3.2753,1785919019.692241,A,1,0.1845,0.0263,0,0.2250,0.9689,0.5079
3.3541,1785919019.771579,A,1,0.1523,0.0769,0,0.2202,1.0070,0.5096
3.4328,1785919019.849656,A,1,0.1141,0.0250,0,0.2372,0.9442,0.5055
3.5107,1785919019.927788,A,1,0.0872,0.0244,0,0.2356,0.9021,0.4956
3.5907,1785919020.007976,A,1,0.0682,0.0238,0,0.2659,0.8281,0.4441
3.6689,1785919020.085975,A,1,0.0617,0.0465,0,0.2588,0.8351,0.4626
3.7468,1785919020.164229,A,1,0.0500,0.0227,0,0.2698,0.8206,0.4365
3.8271,1785919020.244893,A,1,0.0417,0.0222,0,0.2840,0.8148,0.4442
3.9052,1785919020.322127,A,1,0.0357,0.0217,0,0.2876,0.7935,0.4363
3.9851,1785919020.402141,A,1,0.0314,0.0213,0,0.2986,0.7584,0.4094
4.0630,1785919020.479918,A,1,0.0282,0.0208,0,0.3125,0.7460,0.4163
4.1411,1785919020.558210,A,1,0.0381,0.0612,0,0.2863,0.7644,0.4073
4.2191,1785919020.636153,A,1,0.0447,0.0600,0,0.2961,0.7547,0.3999
4.2994,1785919020.716275,A,1,0.0842,0.1765,0,0.2639,0.8452,0.4640
4.3789,1785919020.796216,A,1,0.0647,0.0192,0,0.3169,0.6556,0.3667
4.4566,1785919020.873501,A,1,0.0906,0.1509,0,0.2750,0.7963,0.4334
4.5368,1785919020.954136,A,1,0.0690,0.0185,0,0.3302,0.6853,0.3711
4.6150,1785919021.032194,A,1,0.0646,0.0545,0,0.3157,0.7145,0.3846
4.6949,1785919021.111836,A,1,0.0720,0.0893,0,0.3020,0.7140,0.3891
4.7727,1785919021.189626,A,1,0.0820,0.1053,0,0.2972,0.7080,0.3979
4.8508,1785919021.268261,A,1,0.0626,0.0172,0,0.3279,0.6185,0.3491
4.9309,1785919021.347782,A,1,0.0540,0.0339,0,0.3324,0.6689,0.3571
5.0091,1785919021.426447,A,1,0.0428,0.0167,0,0.3477,0.6232,0.3331
5.1027,1785919021.520145,B,1,0.0398,0.0328,0,0.3435,0.6250,0.3524
5.1988,1785919021.616226,B,1,0.0569,0.0968,0,0.3265,0.6566,0.3764
