section,key,N,mean,std,min,median,max
rec,trial_idx_rec,548,2.5000,1.1191,1.0000,2.5000,4.0000
rec,attention_rec,548,0.4795,0.2927,0.0234,0.5000,0.9732
rec,attention_pct_rec,548,0.4784,0.3016,0.0033,0.5000,1.0000
rec,attention_window_open_rec,548,0.3011,0.4592,0.0000,0.0000,1.0000
rec,relaxation_rec,548,0.5238,0.2914,0.0387,0.5005,0.9770
rec,relaxation_pct_rec,548,0.5249,0.3022,0.0033,0.5000,1.0000
rec,relaxation_window_open_rec,548,0.3358,0.4727,0.0000,0.0000,1.0000
rec,simulation_intensity_rec,548,0.5265,0.2916,0.0314,0.5000,0.9813
rec,simulation_intensity_pct_rec,548,0.5275,0.3020,0.0033,0.5000,1.0000
rec,simulation_intensity_window_open_rec,548,0.3485,0.4769,0.0000,0.0000,1.0000
rec,theta_power_rec,548,0.3762,0.1087,0.1916,0.3680,0.6219
rec,alpha_power_rec,548,1.1317,0.1481,0.8976,1.1075,1.4749
rec,smr_power_rec,548,0.7834,0.2320,0.3613,0.7682,1.2756
rec,beta1_power_rec,548,0.4522,0.1207,0.2265,0.4469,0.7081
log,action_window_close,4,,,,,
log,action_window_open,4,,,,,
log,enrolled,1,,,,,
log,menu_select_monitor,1,,,,,
log,monitor_ready,1,,,,,
log,phase_a_end,4,,,,,
log,phase_a_start,4,,,,,
log,phase_ack,8,,,,,
log,phase_ack_latency_ms,8,,,,,
log,phase_ack_transport_ms,8,,,,,
log,phase_b_end,5,,,,,
log,phase_b_start,4,,,,,
log,scene_loaded,2,,,,,
log,scene_unloaded,1,,,,,
log,session_stop_ack,1,,,,,
log,session_stop_ack_latency_ms,1,,,,,
log,session_stop_ack_transport_ms,1,,,,,
log,tcp_connected,1,,,,,
log,tcp_connected_transport_ms,1,,,,,
log,trial_end,5,,,,,
log,trial_start,4,,,,,
perf,phase_ack_latency_ms,8,64.6459,1.9099,62.9900,64.3340,68.9952
perf,phase_ack_transport_ms,8,48.2967,1.6413,44.4949,48.8657,49.4249
perf,session_stop_ack_latency_ms,1,172.6041,0.0000,172.6041,172.6041,172.6041
perf,session_stop_ack_transport_ms,1,155.0655,0.0000,155.0655,155.0655,155.0655
perf,tcp_connected_transport_ms,1,3199.6505,0.0000,3199.6505,3199.6505,3199.6505
