t_session_sec,abs_ts,phase_rec,trial_idx_rec,attention_rec,attention_pct_rec,attention_window_open_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,simulation_intensity_rec,simulation_intensity_pct_rec,simulation_intensity_window_open_rec,theta_power_rec,alpha_power_rec,smr_power_rec,beta1_power_rec
0.1199,1785919378.671880,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.3280,1.2102,0.8836,0.5058
0.2433,1785919378.793091,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2958,1.2350,0.9383,0.5217
0.3535,1785919378.903509,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2799,1.2709,0.9676,0.5413
0.4641,1785919379.013982,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2961,1.2280,0.9398,0.5347
0.5751,1785919379.124869,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2637,1.2561,1.0212,0.5799
0.6852,1785919379.235068,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2639,1.2717,1.0182,0.5749
0.7941,1785919379.343789,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.3025,1.1867,0.9095,0.5259
0.9056,1785919379.455358,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2716,1.2400,0.9882,0.5758
1.0137,1785919379.563403,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2637,1.2770,1.0161,0.5758
1.1247,1785919379.674441,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2634,1.3181,1.0416,0.5765
1.2358,1785919379.785458,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2400,1.3466,1.0962,0.6058
1.3472,1785919379.897003,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2182,1.3917,1.1598,0.6511
1.4581,1785919380.007783,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2657,1.2735,1.0112,0.5780
1.5682,1785919380.117854,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2296,1.3751,1.1386,0.6265
1.6782,1785919380.227954,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2136,1.4002,1.1798,0.6659
1.7882,1785919380.337966,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2731,1.2592,1.0133,0.5683
1.8975,1785919380.447449,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2240,1.3969,1.1855,0.6570
2.0074,1785919380.556971,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2269,1.3983,1.1755,0.6444
2.1184,1785919380.668386,A,1,0.5000,0.5000,0,0.5000,0.5000,0,0.5000,0.5000,0,0.2034,1.4643,1.2359,0.6818
