t_session_sec,abs_ts,source,kind,key,value,info
0.0047,1785919303.337618,system,subject,enrolled,0,id=SMOKE_RELAX name= sex= age=0 handedness= note=dual-end smoke test
4.1475,1785919307.480415,matlab,phase,phase_a_start,1,dur=5s | send_seq=0
4.1639,1785919307.496814,matlab,trial,trial_start,1,
4.1818,1785919307.514802,unity,marker,tcp_connected,0,scene=_Bootstrap | unity_ts=1785919304.360564 | recv_ts=1785919307.514802 | seq=0 | transport_ms=3154.238 | info=127.0.0.1:5555
4.1818,1785919307.514802,system,latency,tcp_connected_transport_ms,3154.2377,scene=_Bootstrap seq=0 endpoint=127.0.0.1:5555
4.1822,1785919307.515150,unity,marker,menu_select_relax,0,scene=_Bootstrap | unity_ts=1785919304.450614 | recv_ts=1785919307.515150 | seq=1 | transport_ms=3064.536 | info=Game_Relax
4.1826,1785919307.515551,unity,marker,scene_loaded,0,scene=_Bootstrap | unity_ts=1785919304.450614 | recv_ts=1785919307.515551 | seq=2 | transport_ms=3064.937 | info=MainMenu
4.1830,1785919307.515949,unity,marker,scene_unloaded,0,scene=_Bootstrap | unity_ts=1785919304.453613 | recv_ts=1785919307.515949 | seq=3 | transport_ms=3062.336 | info=MainMenu
4.1833,1785919307.516291,unity,marker,scene_loaded,0,scene=_Bootstrap | unity_ts=1785919304.461980 | recv_ts=1785919307.516291 | seq=4 | transport_ms=3054.311 | info=Game_Relax
4.1837,1785919307.516698,unity,marker,session_start,0,scene=_Bootstrap | unity_ts=1785919304.462985 | recv_ts=1785919307.516698 | seq=5 | transport_ms=3053.713 | info=relax
4.1841,1785919307.517078,unity,sync,phase_ack,0,scene=_Bootstrap | unity_ts=1785919307.503281 | recv_ts=1785919307.517078 | seq=6 | transport_ms=13.797 | info=A
4.1841,1785919307.517078,system,latency,phase_ack_transport_ms,13.7973,phase=A trial=1 ack_seq=6 unity_phase=A
4.1841,1785919307.517078,system,latency,phase_ack_latency_ms,36.6628,phase=A trial=1 send_seq=0 ack_seq=6 unity_phase=A
9.2107,1785919312.543705,matlab,phase,phase_a_end,1,
9.2111,1785919312.544039,matlab,phase,phase_b_start,1,dur=10s | send_seq=65
9.2431,1785919312.576031,unity,sync,phase_ack,1,scene=Game_Relax | unity_ts=1785919312.560257 | recv_ts=1785919312.576031 | seq=7 | transport_ms=15.774 | info=B
9.2431,1785919312.576031,system,latency,phase_ack_transport_ms,15.7738,phase=B trial=1 ack_seq=7 unity_phase=B
