section,key,N,mean,std,min,median,max
rec,trial_idx_rec,766,2.5026,1.1188,1.0000,3.0000,4.0000
rec,relaxation_rec,766,0.4762,0.2661,0.0281,0.4983,0.9724
rec,relaxation_pct_rec,766,0.4756,0.2842,0.0067,0.5000,1.0000
rec,relaxation_window_open_rec,766,0.2480,0.4322,0.0000,0.0000,1.0000
rec,alpha_power_rec,766,1.3738,0.2178,0.9573,1.3599,1.9080
rec,beta1_power_rec,766,0.3129,0.0854,0.1556,0.3085,0.4988
rec,beta2_power_rec,766,0.3666,0.0999,0.1966,0.3588,0.5928
log,action_window_close,6,,,,,
log,action_window_open,6,,,,,
log,enrolled,1,,,,,
log,menu_select_relax,1,,,,,
log,phase_a_end,4,,,,,
log,phase_a_start,4,,,,,
log,phase_ack,8,,,,,
log,phase_ack_latency_ms,8,,,,,
log,phase_ack_transport_ms,8,,,,,
log,phase_b_end,5,,,,,
log,phase_b_start,4,,,,,
log,scene_loaded,2,,,,,
log,scene_unloaded,1,,,,,
log,session_start,1,,,,,
log,session_stop_ack,1,,,,,
log,session_stop_ack_latency_ms,1,,,,,
log,session_stop_ack_transport_ms,1,,,,,
log,tcp_connected,1,,,,,
log,tcp_connected_transport_ms,1,,,,,
log,trial_end,5,,,,,
log,trial_start,4,,,,,
perf,phase_ack_latency_ms,8,33.0694,1.5623,31.8351,32.5566,36.6628
perf,phase_ack_transport_ms,8,16.5396,1.2750,13.7973,16.9131,17.7493
perf,session_stop_ack_latency_ms,1,174.0129,0.0000,174.0129,174.0129,174.0129
perf,session_stop_ack_transport_ms,1,157.8698,0.0000,157.8698,157.8698,157.8698
perf,tcp_connected_transport_ms,1,3154.2377,0.0000,3154.2377,3154.2377,3154.2377
