t_session_sec,abs_ts,phase_rec,trial_idx_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,alpha_power_rec,beta1_power_rec,beta2_power_rec
0.0929,1785919307.513348,A,1,0.5000,0.5000,0,1.6925,0.4292,0.2375
0.1855,1785919307.605813,A,1,0.5000,0.5000,0,1.6653,0.4038,0.2648
0.2652,1785919307.684220,A,1,0.5000,0.5000,0,1.7929,0.4287,0.2375
0.3433,1785919307.762791,A,1,0.5000,0.5000,0,1.6687,0.3856,0.2768
0.4233,1785919307.844163,A,1,0.5000,0.5000,0,1.6208,0.3916,0.2736
0.5014,1785919307.920295,A,1,0.5000,0.5000,0,1.6575,0.4228,0.2386
0.5793,1785919307.998291,A,1,0.5000,0.5000,0,1.5832,0.4227,0.2444
0.6575,1785919308.076836,A,1,0.5000,0.5000,0,1.4492,0.3866,0.2713
0.7368,1785919308.156238,A,1,0.5000,0.5000,0,1.4477,0.3942,0.2736
0.8143,1785919308.233317,A,1,0.5000,0.5000,0,1.5663,0.4340,0.2360
0.8946,1785919308.314169,A,1,0.5000,0.5000,0,1.4402,0.3983,0.2803
0.9725,1785919308.391544,A,1,0.5000,0.5000,0,1.5886,0.4260,0.2499
1.0504,1785919308.469491,A,1,0.5000,0.5000,0,1.7345,0.4577,0.2238
1.1300,1785919308.549267,A,1,0.5000,0.5000,0,1.7952,0.4552,0.2160
1.2098,1785919308.628739,A,1,0.5000,0.5000,0,1.7912,0.4214,0.2396
1.2879,1785919308.707049,A,1,0.5000,0.5000,0,1.8293,0.4574,0.2215
1.3680,1785919308.787311,A,1,0.5000,0.5000,0,1.7486,0.4429,0.2381
1.4469,1785919308.865955,A,1,0.5000,0.5000,0,1.7886,0.4665,0.2209
1.5260,1785919308.944824,A,1,0.5000,0.5000,0,1.6343,0.4228,0.2444
1.6051,1785919309.024597,A,1,0.5000,0.5000,0,1.5096,0.4030,0.2721
1.6818,1785919309.100621,A,1,0.5000,0.5000,0,1.5999,0.4445,0.2248
1.7610,1785919309.180437,A,1,0.5000,0.5000,0,1.6142,0.4685,0.2207
1.8399,1785919309.259298,A,1,0.5000,0.5000,0,1.5908,0.4563,0.2295
1.9198,1785919309.339279,A,1,0.5000,0.5000,0,1.7540,0.4797,0.2010
1.9978,1785919309.416906,A,1,0.5000,0.5000,0,1.6919,0.4420,0.2333
2.0781,1785919309.497587,A,1,0.5000,0.5000,0,1.7319,0.4428,0.2247
2.1568,1785919309.575837,A,1,0.5000,0.5000,0,1.8362,0.4696,0.2105
2.2349,1785919309.654304,A,1,0.5000,0.5000,0,1.7916,0.4472,0.2393
2.3128,1785919309.732084,A,1,0.5000,0.5000,0,1.7596,0.4258,0.2444
2.3900,1785919309.809052,A,1,0.5500,0.6667,0,1.7490,0.4345,0.2413
2.4689,1785919309.887758,A,1,0.5785,0.6452,0,1.7320,0.4483,0.2266
2.5471,1785919309.966265,A,1,0.5269,0.4062,0,1.6501,0.4289,0.2433
2.6248,1785919310.043682,A,1,0.4052,0.1212,0,1.4784,0.3992,0.2698
2.7039,1785919310.123147,A,1,0.3013,0.0588,0,1.4559,0.4018,0.2738
2.7823,1785919310.201681,A,1,0.2709,0.2000,0,1.5189,0.4339,0.2455
2.8600,1785919310.278946,A,1,0.3313,0.4722,0,1.6364,0.4488,0.2221
2.9385,1785919310.357408,A,1,0.2887,0.1892,0,1.4779,0.3892,0.2683
3.0184,1785919310.438059,A,1,0.2968,0.3158,0,1.5555,0.3886,0.2636
3.0987,1785919310.517619,A,1,0.3385,0.4359,0,1.6344,0.4008,0.2617
3.1768,1785919310.595935,A,1,0.3870,0.5000,0,1.6563,0.3868,0.2776
3.2548,1785919310.673774,A,1,0.3953,0.4146,0,1.6446,0.3646,0.2972
3.3350,1785919310.753828,A,1,0.3195,0.1429,0,1.5070,0.3242,0.3356
3.4126,1785919310.831701,A,1,0.3144,0.3023,0,1.5885,0.3689,0.2924
3.4929,1785919310.912607,A,1,0.2678,0.1591,0,1.5167,0.3679,0.3048
3.5707,1785919310.989696,A,1,0.2608,0.2444,0,1.5053,0.3829,0.2771
3.6503,1785919311.069384,A,1,0.1891,0.0217,0,1.3836,0.3559,0.3142
3.7278,1785919311.147021,A,1,0.1387,0.0213,0,1.2883,0.3338,0.3308
3.8073,1785919311.226691,A,1,0.1034,0.0208,0,1.2587,0.3319,0.3265
3.8860,1785919311.305071,A,1,0.0785,0.0204,0,1.2616,0.3120,0.3551
3.9641,1785919311.383198,A,1,0.0789,0.0800,0,1.3558,0.3290,0.3311
4.0440,1785919311.462923,A,1,0.0670,0.0392,0,1.2946,0.2751,0.3883
4.1219,1785919311.540738,A,1,0.0758,0.0962,0,1.3755,0.2874,0.3894
4.1979,1785919311.617144,A,1,0.0927,0.1321,0,1.4196,0.2949,0.3794
4.2779,1785919311.696826,A,1,0.1371,0.2407,0,1.5124,0.3229,0.3418
4.3560,1785919311.774959,A,1,0.1450,0.1636,0,1.4315,0.2886,0.3822
4.4335,1785919311.852690,A,1,0.1337,0.1071,0,1.3794,0.2868,0.3735
