section,key,N,mean,std,min,median,max
rec,trial_idx_rec,763,2.5046,1.1170,1.0000,3.0000,4.0000
rec,simulation_intensity_rec,763,0.5198,0.2547,0.0265,0.5153,0.9664
rec,simulation_intensity_pct_rec,763,0.5210,0.2866,0.0042,0.5039,1.0000
rec,simulation_intensity_window_open_rec,763,0.3054,0.4609,0.0000,0.0000,1.0000
rec,mu_power_rec,763,0.8345,0.1460,0.5427,0.8313,1.1989
rec,beta_power_rec,763,0.6804,0.0545,0.5974,0.6683,0.8254
log,aim_start,4,,,,,
log,auto_fire,3,,,,,
log,enrolled,1,,,,,
log,menu_select_simulation,1,,,,,
log,phase_a_end,4,,,,,
log,phase_a_start,4,,,,,
log,phase_ack,8,,,,,
log,phase_ack_latency_ms,8,,,,,
log,phase_ack_transport_ms,8,,,,,
log,phase_b_end,5,,,,,
log,phase_b_start,4,,,,,
log,scene_loaded,2,,,,,
log,scene_unloaded,1,,,,,
log,session_start,1,,,,,
log,session_stop_ack,1,,,,,
log,session_stop_ack_latency_ms,1,,,,,
log,session_stop_ack_transport_ms,1,,,,,
log,state_above_threshold,3,,,,,
log,state_dropped,4,,,,,
log,tcp_connected,1,,,,,
log,tcp_connected_transport_ms,1,,,,,
log,trial_end,8,,,,,
log,trial_start,8,,,,,
perf,phase_ack_latency_ms,8,45.7733,28.9755,29.8190,34.9715,115.8540
perf,phase_ack_transport_ms,8,30.0027,25.1005,16.3028,19.3726,90.1949
perf,session_stop_ack_latency_ms,1,167.6459,0.0000,167.6459,167.6459,167.6459
perf,session_stop_ack_transport_ms,1,157.7137,0.0000,157.7137,157.7137,157.7137
perf,tcp_connected_transport_ms,1,3269.4461,0.0000,3269.4461,3269.4461,3269.4461
