t_session_sec,abs_ts,phase_rec,trial_idx_rec,simulation_intensity_rec,simulation_intensity_pct_rec,simulation_intensity_window_open_rec,mu_power_rec,beta_power_rec
0.1185,1785919150.855443,A,1,0.5000,0.5000,0,0.8883,0.7138
0.3017,1785919151.036476,A,1,0.5000,0.5000,0,0.8313,0.7272
0.3968,1785919151.131889,A,1,0.5000,0.5000,0,0.9071,0.7398
0.4940,1785919151.228221,A,1,0.5000,0.5000,0,0.9634,0.7496
0.5689,1785919151.307421,A,1,0.5000,0.5000,0,1.0386,0.7481
0.6476,1785919151.381861,A,1,0.5000,0.5000,0,1.0504,0.7476
0.7270,1785919151.460414,A,1,0.5000,0.5000,0,1.0403,0.7319
0.8049,1785919151.538219,A,1,0.5000,0.5000,0,1.1097,0.7624
0.8827,1785919151.616038,A,1,0.5000,0.5000,0,1.1159,0.7707
0.9626,1785919151.696134,A,1,0.5000,0.5000,0,1.1138,0.7980
1.0406,1785919151.773827,A,1,0.5000,0.5000,0,1.0326,0.7694
1.1185,1785919151.851784,A,1,0.5000,0.5000,0,0.9576,0.7534
1.1978,1785919151.931003,A,1,0.5000,0.5000,0,0.9321,0.7675
1.2768,1785919152.010042,A,1,0.5000,0.5000,0,0.9688,0.7839
1.3548,1785919152.088143,A,1,0.5000,0.5000,0,0.9966,0.7747
1.4328,1785919152.166047,A,1,0.5000,0.5000,0,1.0713,0.8034
1.5128,1785919152.246030,A,1,0.5000,0.5000,0,1.0348,0.7696
1.5909,1785919152.324246,A,1,0.5000,0.5000,0,1.0647,0.7714
1.6688,1785919152.402080,A,1,0.5000,0.5000,0,1.1529,0.8071
1.7458,1785919152.479203,A,1,0.5000,0.5000,0,1.1521,0.7819
1.8243,1785919152.557553,A,1,0.5000,0.5000,0,1.1229,0.7670
1.9043,1785919152.637577,A,1,0.5000,0.5000,0,1.1215,0.7742
1.9824,1785919152.715914,A,1,0.5000,0.5000,0,0.9965,0.7408
2.0604,1785919152.793835,A,1,0.5000,0.5000,0,1.0842,0.8048
2.1384,1785919152.871645,A,1,0.5000,0.5000,0,0.9757,0.7682
2.2184,1785919152.951856,A,1,0.5000,0.5000,0,0.8835,0.7450
2.2984,1785919153.031632,A,1,0.5000,0.5000,0,0.9746,0.7959
2.3754,1785919153.108783,A,1,0.5000,0.5000,0,0.9329,0.7646
