mode,ack_type,latency_ms,session
simulation,Phase ACK,115.854,simulation
simulation,Phase ACK,42.522,simulation
simulation,Phase ACK,36.7689,simulation
simulation,Phase ACK,46.8061,simulation
simulation,Phase ACK,29.819,simulation
simulation,Phase ACK,30.0767,simulation
simulation,Phase ACK,31.1658,simulation
simulation,Phase ACK,33.174,simulation
simulation,Stop ACK,167.6459,simulation
attention,Phase ACK,201.225,attention
attention,Phase ACK,42.676,attention
attention,Phase ACK,30.3869,attention
attention,Phase ACK,33.9019,attention
attention,Phase ACK,27.7021,attention
attention,Phase ACK,31.9371,attention
attention,Phase ACK,33.119,attention
attention,Phase ACK,32.445,attention
attention,Stop ACK,169.1418,attention
relax,Phase ACK,36.6628,relax
relax,Phase ACK,31.992,relax
relax,Phase ACK,33.206,relax
relax,Phase ACK,32.599,relax
relax,Phase ACK,33.53,relax
relax,Phase ACK,31.8351,relax
relax,Phase ACK,32.5141,relax
relax,Phase ACK,32.2161,relax
relax,Stop ACK,174.0129,relax
monitor,Phase ACK,68.9952,monitor
monitor,Phase ACK,62.99,monitor
monitor,Phase ACK,63.5421,monitor
monitor,Phase ACK,64.395,monitor
monitor,Phase ACK,63.199,monitor
monitor,Phase ACK,64.2731,monitor
monitor,Phase ACK,65.237,monitor
monitor,Phase ACK,64.5361,monitor
monitor,Stop ACK,172.6041,monitor
