t_rel,phase_rec,trial_idx_rec,simulation_intensity_rec,simulation_intensity_pct_rec,mu_power_rec,beta_power_rec
0.0,A,1,0.5,0.5,0.8883,0.7138
0.18320000000000003,A,1,0.5,0.5,0.8313,0.7272
0.2783,A,1,0.5,0.5,0.9071,0.7398
0.3755,A,1,0.5,0.5,0.9634,0.7496
0.45039999999999997,A,1,0.5,0.5,1.0386,0.7481
0.5290999999999999,A,1,0.5,0.5,1.0504,0.7476
0.6085,A,1,0.5,0.5,1.0403,0.7319
0.6863999999999999,A,1,0.5,0.5,1.1097,0.7624
0.7642,A,1,0.5,0.5,1.1159,0.7707
0.8441000000000001,A,1,0.5,0.5,1.1138,0.798
0.9220999999999999,A,1,0.5,0.5,1.0326,0.7694
1.0,A,1,0.5,0.5,0.9576,0.7534
1.0793,A,1,0.5,0.5,0.9321,0.7675
1.1582999999999999,A,1,0.5,0.5,0.9688,0.7839
1.2363,A,1,0.5,0.5,0.9966,0.7747
1.3143,A,1,0.5,0.5,1.0713,0.8034
1.3942999999999999,A,1,0.5,0.5,1.0348,0.7696
1.4724,A,1,0.5,0.5,1.0647,0.7714
1.5503,A,1,0.5,0.5,1.1529,0.8071
1.6273,A,1,0.5,0.5,1.1521,0.7819
1.7058,A,1,0.5,0.5,1.1229,0.767
1.7858,A,1,0.5,0.5,1.1215,0.7742
1.8639,A,1,0.5,0.5,0.9965,0.7408
1.9419,A,1,0.5,0.5,1.0842,0.8048
2.0199,A,1,0.5,0.5,0.9757,0.7682
2.0999,A,1,0.5,0.5,0.8835,0.745
2.1799,A,1,0.5,0.5,0.9746,0.7959
2.2569,A,1,0.5,0.5,0.9329,0.7646
2.335,A,1,0.5,0.5,1.0497,0.8254
2.4129,A,1,0.52,0.5667,1.0093,0.7601
2.4919,A,1,0.4801,0.3871,1.0527,0.7488
2.5719,A,1,0.4392,0.3438,1.0857,0.744
2.65,A,1,0.4075,0.3333,1.0804,0.7542
2.7281,A,1,0.4087,0.4118,1.0623,0.7479
2.808,A,1,0.5176,0.7714,0.9875,0.7111
2.886,A,1,0.629,0.8889,0.9501,0.7271
2.9668,A,1,0.7322,0.973,0.8819,0.7099
3.0442,A,1,0.8125,1.0,0.8175,0.7189
3.1243,A,1,0.8688,1.0,0.7907,0.7177
3.2012,A,1,0.9081,1.0,0.7629,0.6996
3.2797,A,1,0.9284,0.9756,0.775,0.7048
3.3581,A,1,0.9284,0.9286,0.8308,0.6863
3.436,A,1,0.908,0.8605,0.8846,0.6868
3.516,A,1,0.8402,0.6818,0.9694,0.7304
3.594,A,1,0.8215,0.7778,0.9236,0.6814
3.6739,A,1,0.7511,0.587,1.0043,0.7034
3.752,A,1,0.7683,0.8085,0.9208,0.6667
3.831,A,1,0.8003,0.875,0.8769,0.6761
3.91,A,1,0.8419,0.9388,0.8388,0.6699
3.9882,A,1,0.8833,0.98,0.7824,0.6874
4.0661,A,1,0.9183,1.0,0.6863,0.6557
4.146,A,1,0.9428,1.0,0.6842,0.6524
4.224,A,1,0.96,1.0,0.6647,0.6382
4.3041,A,1,0.9664,0.9815,0.6874,0.6298
4.3811,A,1,0.9547,0.9273,0.7557,0.6451
4.46,A,1,0.9415,0.9107,0.7863,0.6504
4.538,A,1,0.9064,0.8246,0.8433,0.6541
4.6161,A,1,0.8621,0.7586,0.8717,0.64
4.6931,A,1,0.8221,0.7288,0.8837,0.6526
4.77,A,1,0.8405,0.8833,0.8155,0.6227
4.848,A,1,0.8637,0.918,0.7691,0.6216
4.9271,A,1,0.8853,0.9355,0.7364,0.6322
5.0229,B,1,0.9197,1.0,0.6712,0.623
5.117,B,1,0.9438,1.0,0.6218,0.6391
5.196,B,1,0.9606,1.0,0.6093,0.6249
