session,session_dir,mode,missing_files,week2_cohort,complete,duration_sec,subject_id,event_rows,phase_ack_n,stop_ack_n,phase_ack_latency_n,stop_ack_latency_n,phase_N,phase_mean,phase_std,phase_min,phase_median,phase_max,stop_N,stop_mean,stop_std,stop_min,stop_median,stop_max,valid_session,performance_error
20260804_102944_simulation_S001,logs/sessions/20260804_102944_simulation_S001,simulation,,0,1,99.34920907020569,S001,85,8,1,8,1,8.0,32.0254,39.2656,9.624,16.8946,126.8001,1.0,154.6619,0.0,154.6619,154.6619,154.6619,1,
20260804_103217_attention_S001,logs/sessions/20260804_103217_attention_S001,attention,,0,1,93.02400827407837,S001,150,8,1,8,1,8.0,21.2539,18.9924,10.2639,11.5255,59.9952,1.0,153.6281,0.0,153.6281,153.6281,153.6281,1,
20260804_103412_relax_S001,logs/sessions/20260804_103412_relax_S001,relax,,0,1,92.48112320899963,S001,73,8,1,8,1,8.0,11.1909,2.3095,8.378,10.8879,15.77,1.0,153.3158,0.0,153.3158,153.3158,153.3158,1,
20260804_103658_monitor_S001,logs/sessions/20260804_103658_monitor_S001,monitor,,0,1,92.6802728176117,S001,82,8,1,8,1,8.0,17.6601,3.6784,12.7668,17.1551,22.8608,1.0,153.4212,0.0,153.4212,153.4212,153.4212,1,
20260805_162710_simulation_SMOKE_SIMULATION,logs/sessions/20260805_162710_simulation_SMOKE_SIMULATION,simulation,,1,1,92.29535293579102,SMOKE_SIMULATION,1,0,0,0,0,0.0,,,,,,0.0,,,,,,0,
20260805_163027_attention_SMOKE_ATTENTION,logs/sessions/20260805_163027_attention_SMOKE_ATTENTION,attention,,1,1,60.08503603935242,SMOKE_ATTENTION,1,0,0,0,0,0.0,,,,,,0.0,,,,,,0,
20260805_163132_relax_SMOKE_RELAX,logs/sessions/20260805_163132_relax_SMOKE_RELAX,relax,performance_summary.csv || report/summary.csv || report/report.html,1,0,,SMOKE_RELAX,1,0,0,0,0,,,,,,,,,,,,,0,[Errno 2] No such file or directory: 'G:\\HXY\\GameSystem\\Project\\logs\\sessions\\20260805_163132_relax_SMOKE_RELAX\\performance_summary.csv'
20260805_163652_attention_SMOKE_ATTENTION,logs/sessions/20260805_163652_attention_SMOKE_ATTENTION,attention,,1,1,64.17231583595276,SMOKE_ATTENTION,134,8,1,8,1,8.0,54.1741,59.5743,27.7021,32.782,201.225,1.0,169.1418,0.0,169.1418,169.1418,169.1418,1,
20260805_163907_simulation_SMOKE_SIMULATION,logs/sessions/20260805_163907_simulation_SMOKE_SIMULATION,simulation,,1,1,64.16815090179443,SMOKE_SIMULATION,82,8,1,8,1,8.0,45.7733,28.9755,29.819,34.9715,115.854,1.0,167.6459,0.0,167.6459,167.6459,167.6459,1,
20260805_164030_attention_SMOKE_ATTENTION,logs/sessions/20260805_164030_attention_SMOKE_ATTENTION,attention,,1,1,64.77337598800659,SMOKE_ATTENTION,132,8,1,8,1,8.0,34.3959,7.2849,29.8269,32.2024,52.202,1.0,175.3051,0.0,175.3051,175.3051,175.3051,1,
20260805_164143_relax_SMOKE_RELAX,logs/sessions/20260805_164143_relax_SMOKE_RELAX,relax,,1,1,64.71909785270691,SMOKE_RELAX,73,8,1,8,1,8.0,33.0694,1.5623,31.8351,32.5565,36.6628,1.0,174.0129,0.0,174.0129,174.0129,174.0129,1,
20260805_164254_monitor_SMOKE_MONITOR,logs/sessions/20260805_164254_monitor_SMOKE_MONITOR,monitor,,1,1,64.34309911727905,SMOKE_MONITOR,69,8,1,8,1,8.0,64.6459,1.9099,62.99,64.334,68.9952,1.0,172.6041,0.0,172.6041,172.6041,172.6041,1,
20260805_164720_simulation_SMOKE_SIMULATION,logs/sessions/20260805_164720_simulation_SMOKE_SIMULATION,simulation,,1,1,64.04219794273376,SMOKE_SIMULATION,82,8,1,8,1,8.0,49.4025,38.6659,27.5609,34.9895,143.4708,1.0,166.7008,0.0,166.7008,166.7008,166.7008,1,
20260805_164843_simulation_SMOKE_SIMULATION,logs/sessions/20260805_164843_simulation_SMOKE_SIMULATION,simulation,,1,1,64.73685812950134,SMOKE_SIMULATION,83,8,1,8,1,8.0,35.0468,7.0626,29.8579,32.9835,52.269,1.0,172.6832,0.0,172.6832,172.6832,172.6832,1,
20260805_164956_simulation_SMOKE_SIMULATION,logs/sessions/20260805_164956_simulation_SMOKE_SIMULATION,simulation,,1,1,64.1155776977539,SMOKE_SIMULATION,84,8,1,8,1,8.0,32.8906,1.4075,31.3661,33.1353,35.217,1.0,174.3181,0.0,174.3181,174.3181,174.3181,1,
20260805_165107_simulation_SMOKE_SIMULATION,logs/sessions/20260805_165107_simulation_SMOKE_SIMULATION,simulation,,1,1,64.34237790107727,SMOKE_SIMULATION,85,8,1,8,1,8.0,32.6886,1.1608,31.2021,32.4445,34.261,1.0,175.117,0.0,175.117,175.117,175.117,1,
20260805_165219_simulation_SMOKE_SIMULATION,logs/sessions/20260805_165219_simulation_SMOKE_SIMULATION,simulation,,1,1,64.09085392951965,SMOKE_SIMULATION,84,8,1,8,1,8.0,37.6395,8.9829,30.7078,33.3019,54.3499,1.0,172.0572,0.0,172.0572,172.0572,172.0572,1,
20260805_165332_simulation_SMOKE_SIMULATION,logs/sessions/20260805_165332_simulation_SMOKE_SIMULATION,simulation,,1,1,493.29636907577515,SMOKE_SIMULATION,53,5,1,5,1,5.0,33.108,1.8248,31.666,32.2871,36.2518,1.0,230.335,0.0,230.335,230.335,230.335,0,
20260805_170155_simulation_SMOKE_SIMULATION,logs/sessions/20260805_170155_simulation_SMOKE_SIMULATION,simulation,,1,1,64.2488489151001,SMOKE_SIMULATION,83,8,1,8,1,8.0,39.9506,12.6365,32.2061,33.4904,62.33,1.0,175.8482,0.0,175.8482,175.8482,175.8482,1,
20260805_170552_simulation_SMOKE_SIMULATION,logs/sessions/20260805_170552_simulation_SMOKE_SIMULATION,simulation,,1,1,64.12536311149597,SMOKE_SIMULATION,83,8,1,8,1,8.0,49.4276,36.4606,30.0529,35.0899,137.9158,1.0,168.3154,0.0,168.3154,168.3154,168.3154,1,
20260805_170716_simulation_SMOKE_SIMULATION,logs/sessions/20260805_170716_simulation_SMOKE_SIMULATION,simulation,,1,1,64.70618796348572,SMOKE_SIMULATION,85,8,1,8,1,8.0,34.741,7.1866,30.2529,32.4571,52.366,1.0,174.767,0.0,174.767,174.767,174.767,1,
20260805_170828_simulation_SMOKE_SIMULATION,logs/sessions/20260805_170828_simulation_SMOKE_SIMULATION,simulation,,1,1,64.66462826728821,SMOKE_SIMULATION,84,8,1,8,1,8.0,32.8699,1.573,30.7622,32.6332,36.1087,1.0,174.758,0.0,174.758,174.758,174.758,1,
20260805_171056_attention_SMOKE_ATTENTION,logs/sessions/20260805_171056_attention_SMOKE_ATTENTION,attention,,1,1,64.15566611289978,SMOKE_ATTENTION,132,8,1,8,1,8.0,43.159,32.5546,29.1841,30.8115,123.2791,1.0,167.886,0.0,167.886,167.886,167.886,1,
20260805_171220_attention_SMOKE_ATTENTION,logs/sessions/20260805_171220_attention_SMOKE_ATTENTION,attention,,1,1,64.74682593345642,SMOKE_ATTENTION,130,8,1,8,1,8.0,34.8624,7.5792,30.602,32.4024,53.5018,1.0,175.947,0.0,175.947,175.947,175.947,1,
20260805_171333_attention_SMOKE_ATTENTION,logs/sessions/20260805_171333_attention_SMOKE_ATTENTION,attention,,1,1,64.76870512962341,SMOKE_ATTENTION,130,8,1,8,1,8.0,33.0952,1.818,31.8921,32.6575,37.498,1.0,176.6531,0.0,176.6531,176.6531,176.6531,1,
